元梦之星创作者平台LUA编程通用数据定义

充能大招列表
描述: 相关函数：设置玩家当前充能大招（SetRechargedAbility）
充能大招名字	充能大招ID
三重回旋镖	91002
雪人炮弹	91004
旋风锤	91006
喷气滑翔翼	91007
铁头冲锋	91008
陨石术	91009
魔法瓶	91010
芭蕉扇	91011
雷隐术	91012
能量护盾	91013
粘性炸弹	91014
守护精灵	91015
道具盲盒	91016
云朵方块	91018
冰雪公主	91020
反弹护盾	91021

动画列表
描述: 相关函数：让角色播放动作（PlayAnim）、让角色停止播放动作（StopAnim）
动画类型	动画名字	动画参数
角色动画	翻滚	”Rush”
角色动画	晃动	”Shake”
角色动画	变身	”Donggan”
角色动画	摔倒	”BounceBack”
角色动画	扑到	”Dive”
角色动画	向后倒	”DiveBack”
角色动画	左脚踢	”AttackLegL”
角色动画	右脚踢	”AttackLegR”
角色动画	奔跑	”Run”
角色动画	浮空	”JumpLoop”
角色动画	预备跑	”Crouch”
角色动画	开始倒下	”IdleToLastStand”
角色动画	倒下匍匐	”LastStandIdle”
角色动画	倒下起身	”LastStandToIdle”
角色动画	被电击	”ElectricShock”
角色动画	飞行	”Fly”
角色动画	思考	”Think”
角色动画	挠头	”TouchHead”
角色动画	伸懒腰	”Stretch”
角色动画	摆造型	”ChooseMale”
角色动画	愤怒	”MonsterSkill1”
角色动画	哭	”Cry”
角色动画	跳踩	”JumpDown”
角色动画	施法	”CastSpell”
角色动画	蓄力起跳	”ChannelingJump”
角色动画	快速起跳	”FastJump”
角色动画	冲击波	”ShockWave”
角色动画	砸地	”Smash02”
角色动画	波动拳	”Sniper”
角色动画	水平抓取	”Summon01”
角色动画	向上抓取	”Summon02”
角色动画	向上推手	”Summon03”
角色动画	前冲连击	”Dush01”
角色动画	蓄力前冲	”Dush02”
角色动画	前冲闪避	”Dodge01”
角色动画	蓄力爆破	”LoopExpolde01”
角色动画	后空翻	”Flash01”
角色动画	连续推掌	”LoopShooting01”
角色动画	前冲飞行	”LoopFlyingForward01”
角色动画	蓄力投掷	”LoopThrow01”
角色动画	转转大风车	”Whirlwind02”
角色动画	摊手施法	”Whirlwind01”
角色动画	舞蹈-超能力	”DanceCNL”
角色动画	舞蹈-踮脚	”DanceDJ”
角色动画	舞蹈-春风	”DanceGGKF”
角色动画	舞蹈-好运来	”DanceHYL”
角色动画	舞蹈-健身操	”DanceJSC”
角色动画	舞蹈-龙	”DanceLong”
角色动画	舞蹈-女王牌	”DanceQC”
角色动画	舞蹈-樱花	”DanceQSA”
角色动画	舞蹈-Sorry	”DanceSS”
角色动画	舞蹈-兔子舞	”DanceTZW”
角色动画	舞蹈-摇摆	”DanceWD”
角色动画	坠落	”getOFF”
角色动画	漂浮1	”floating01”
角色动画	乱挥	”Swingaround01”
角色动画	展示肌肉	”musclespower”
角色动画	强推	”PushSrike”
角色动画	巨物扔出	”Heavythrown”
角色动画	向左挥击	”fanleft”
角色动画	向右挥击	”fanright”
角色动画	拍击	”BastBallBat”
角色动画	匕首刺击1	”Dagger1”
角色动画	匕首刺击2	”Dagger2”
角色动画	左右勾拳	”GlovesAttack01”
角色动画	上下勾拳	”GlovesAttack02”
角色动画	坠落锤击	”hammerattack01”
角色动画	挑飞锤击	”hammerattack02”
角色动画	重剑挥砍1	”HeavyknivesAttack01”
角色动画	重剑挥砍2	”HeavyknivesAttack02”
角色动画	重剑挥砍3	”HeavyknivesAttack03”
角色动画	重锤竖劈	”HeroHammer01”
角色动画	重锤横劈	”HeroHammer02”
角色动画	英雄剑击1	”herosword01”
角色动画	英雄剑击2	”herosword02”
角色动画	英雄剑击3	”herosword03”
角色动画	英雄剑击4	”herosword04”
角色动画	勇气鼓舞	”Heroskill”
角色动画	魔杖攻击01	”staffs01”
角色动画	魔杖攻击02	”staffs02”
角色动画	魔杖攻击03	”staffs03”
角色动画	魔杖攻击04	”staffs04”
角色动画	侠气剑击01	”sword01”
角色动画	侠气剑击02	”sword02”
角色动画	侠气剑击03	”sword03”
角色动画	强力狙击	”AWM01”
角色动画	球体冲击	”Basketball01”
角色动画	百步穿杨	”Herobow01”
角色动画	强力弩击	”Crossbow01”
角色动画	枪械迅射	”HeroGun01”
角色动画	导弹发射	”RPG01”
角色动画	泡泡汽水	”Drink001”
角色动画	深度学习	”Knowledge001”
角色动画	满头问号	”Query001”
角色动画	躺平	”Pleased001”
角色动画	哈喽	”Hi001”
角色动画	坐姿思考	”SitThought”
角色动画	坐姿发言	”SitSpeak”
角色动画	坐姿静止	”SitIdle”
角色动画	坐姿害怕	”SitFear”
角色动画	站姿发言	”StandSpeak”
角色动画	站姿静止	”StandIdle”
角色动画	站姿害怕	”StandFear”
角色动画	切东西	”StandCutup”
角色动画	空手攻击01	”PunchAttack01”
角色动画	空手攻击02	”PunchAttack02”
角色原生动画	待机	”AnimalIdle”
角色原生动画	玩耍	”AnimalPlay”
角色原生动画	奔跑	”AnimalRun”
角色原生动画	攻击	”AnimalAtk”
角色原生动画	行走	”AnimalWalk”
角色原生动画	受击	”AnimalHit”
角色原生动画	死亡	”AnimalDie”
角色原生动画	冲刺	”AnimalDashRun”
角色原生动画	跳跃	”AnimalJump”
角色原生动画	下落	”AnimalJumploop”
角色原生动画	举起生物	”AnimalGrab”
角色原生动画	放下生物	”AnimalGrabThrow”
角色原生动画	使用道具	”AnimalThrowProp”
角色原生动画	飞扑开始	”AnimalDiveStart”
角色原生动画	飞扑持续	”AnimalDiveLoop”
角色原生动画	飞扑结束	”AnimalDiveEnd”
角色动画	挥洒	”Sway”
